repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
0	51	133329	2202.57	20024.8	67106.9	15845.2	11359.5	7567.74	3866.35	2609.86	2657.28	656615	0	0	1	0	0xd43f5e018b415631
0	52	133951	2235.74	20294.8	67392.7	15798.2	11355.5	7550.5	4051.6	2504.78	2672.9	666945	0	0	1	0	0xd43f5e018b415631
0	53	134160	2194.57	20165.5	67868.8	15691.2	11377.6	7597.37	3971.85	2556.69	2645.65	658342	1	1	1	0	0xd43f5e018b415631
0	54	134093	2282.2	20219.3	67666	15745.2	11365.4	7484.33	4074.81	2489.48	2671.9	664527	0	1	1	0	0xd43f5e018b415631
0	55	134047	2190.11	20178.4	67505.7	15841.7	11363.8	7548.54	4177.31	2502.32	2647.53	655095	0	4	1	0	0xd43f5e018b415631
0	56	134023	2536.94	20327.5	67191.1	15848.9	11358.8	7594.79	3900.52	2496.82	2677.44	662066	0	0	1	0	0xd43f5e018b415631
0	57	133798	2236.99	20089.3	67186.8	15832.4	11396.3	7686.41	4046.31	2542.4	2688.32	668667	1	0	1	0	0xd43f5e018b415631
0	58	134171	2208.9	20280.5	67760.1	15837.4	11352.1	7479.12	3944.22	2543.15	2676.73	660964	0	0	1	0	0xd43f5e018b415631
0	59	134031	2247.32	20185	67609.7	15777.5	11336.8	7621.12	3985.56	2500.78	2673.9	667212	1	0	1	0	0xd43f5e018b415631
0	60	134133	2194.28	20241.9	67679.6	15981.7	11364.9	7588.75	3782.73	2553.99	2650.98	658292	0	1	1	0	0xd43f5e018b415631
