fixture	fixture_kind	tensor_id	tensor_name	status	mismatches	max_abs_diff	custom_hash64	affinity_ok	first_mismatch_index	first_actual	first_expected
F6	bus_image	26	/model.8/m.0/m/m.1/cv2/conv/Conv_output_0_QuantizeLinear_Output	0	2686	3	4826842592157873441	1	110	152	151
F6	bus_image	28	/model.8/m.0/Concat_output_0_QuantizeLinear_Output	0	2324	4	10257596794620593460	1	110	34	32
F6	bus_image	30	/model.8/Concat_output_0_QuantizeLinear_Output	0	3701	5	18399883732828823139	1	222	5	4
F6	bus_image	31	/model.8/cv2/act/Mul_output_0_QuantizeLinear_Output	0	6801	5	6986488868128516885	1	91	7	6
F7	zidane_image	1	/model.4/cv2/act/Mul_output_0_QuantizeLinear_Output	0	0	0	13681773849165834245	1	819200	-1	-1
F7	zidane_image	2	/model.5/act/Mul_output_0_QuantizeLinear_Output	0	0	0	9802105792307960977	1	204800	-1	-1
F7	zidane_image	4	/model.6/Split_output_1_QuantizeLinear_Output	0	1	2	12573422463603798886	1	88977	23	25
F7	zidane_image	5	/model.6/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	0	3	3	3600326033179658608	1	977	23	21
F7	zidane_image	7	/model.6/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	0	23	2	599233126564856655	1	937	22	21
F7	zidane_image	8	/model.6/m.0/m/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	0	104	2	3424910259897991622	1	936	154	155
F7	zidane_image	9	/model.6/m.0/m/m.0/Add_output_0_QuantizeLinear_Output	0	62	2	18088747508468664806	1	936	58	59
F7	zidane_image	10	/model.6/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear_Output	0	103	2	5201588635300750071	1	855	36	34
F7	zidane_image	11	/model.6/m.0/m/m.1/cv2/conv/Conv_output_0_QuantizeLinear_Output	0	387	1	14931487729925732897	1	857	167	168
F7	zidane_image	13	/model.6/m.0/Concat_output_0_QuantizeLinear_Output	0	354	3	3581492174794092057	1	857	70	72
F7	zidane_image	15	/model.6/Concat_output_0_QuantizeLinear_Output	0	613	4	3509326786282416895	1	191377	21	23
F7	zidane_image	16	/model.6/cv2/act/Mul_output_0_QuantizeLinear_Output	0	1139	3	10773011614543279726	1	818	18	19
F7	zidane_image	17	/model.7/act/Mul_output_0_QuantizeLinear_Output	0	779	3	11208328136981086062	1	227	4	3
F7	zidane_image	19	/model.8/Split_output_1_QuantizeLinear_Output	0	682	4	8280565306821154926	1	266	2	1
F7	zidane_image	20	/model.8/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	0	387	4	4891432493379432948	1	228	62	59
F7	zidane_image	22	/model.8/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	0	606	5	10990897373248726613	1	205	8	9
F7	zidane_image	23	/model.8/m.0/m/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	0	1815	4	6144984236901632502	1	170	113	114
F7	zidane_image	24	/model.8/m.0/m/m.0/Add_output_0_QuantizeLinear_Output	0	1195	6	14416544702536660039	1	170	7	8
F7	zidane_image	25	/model.8/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear_Output	0	1015	5	14810352531839192841	1	226	4	3
F7	zidane_image	26	/model.8/m.0/m/m.1/cv2/conv/Conv_output_0_QuantizeLinear_Output	0	3224	4	15643464480335733761	1	123	146	145
F7	zidane_image	28	/model.8/m.0/Concat_output_0_QuantizeLinear_Output	0	3243	5	15659288944454407515	1	123	39	37
F7	zidane_image	30	/model.8/Concat_output_0_QuantizeLinear_Output	0	5347	7	17972897203376246094	1	207	16	15
F7	zidane_image	31	/model.8/cv2/act/Mul_output_0_QuantizeLinear_Output	0	7696	7	11052169061351129834	1	134	6	7
