resolution	shape_class	operation_index	kind	m	n	k	kernel	stride	selected_route	design_role
640	dense_1x1_n_tail_k384	63	conv_dense	400	16	384	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
640	dense_1x1_n_tail_k384	63	conv_dense	400	24	384	1x1	1x1	direct-strided-n16-live-tail	bounded-graph-backed-synthetic-exact-shape
640	dense_1x1_n_tail_k384	63	conv_dense	400	32	384	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
640	dense_1x1_n_tail_k384	63	conv_dense	400	48	384	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
640	dense_1x1_n_tail_k384	63	conv_dense	400	64	384	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
640	dense_1x1_n_tail_k384	63	conv_dense	400	80	384	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
640	dense_1x1_n_tail_k384	63	conv_dense	400	96	384	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
640	dense_1x1_n_tail_k384	63	conv_dense	400	128	384	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
640	dense_1x1_n_tail_k384	63	conv_dense	400	192	384	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
640	dense_1x1_n_tail_k384	63	conv_dense	400	256	384	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
