resolution	shape_class	operation_index	operation_name	kind	output_h	output_w	m	n	k	kernel	stride	input_c	output_c	working_set_bytes	packed_weight_bytes	mean_us	median_us	p95_us	max_us	output_hash	correctness_status	selected_route	scheduler	workers	tails
416	dense_3x3s1_k576	127	/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv	conv_dense	52	52	2704	16	576	3x3	1x1	64	16	216320	9216	958.38	954.224	972.739	973.015	0xb2f3c3508bc8f05	exact-component-contract	packed-p1-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
448	dense_3x3s1_k576	127	/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv	conv_dense	56	56	3136	16	576	3x3	1x1	64	16	250880	9216	1123.02	1117.43	1153.73	1154.68	0xb41c87db59b878b4	exact-component-contract	packed-p1-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
480	dense_3x3s1_k576	127	/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv	conv_dense	60	60	3600	16	576	3x3	1x1	64	16	288000	9216	1325.48	1318.5	1342.88	1355.98	0x26c4233457ff5ab1	exact-component-contract	packed-p1-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
512	dense_3x3s1_k576	127	/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv	conv_dense	64	64	4096	16	576	3x3	1x1	64	16	327680	9216	2294.23	2219.45	3131.18	3199.34	0x83244d81e732129f	exact-component-contract	packed-p1-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
640	dense_3x3s1_k576	127	/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv	conv_dense	80	80	6400	16	576	3x3	1x1	64	16	512000	9216	2276.33	2272.97	2314.09	2325.37	0x424f1aec00312c0	exact-component-contract	packed-p1-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
384	dense_3x3s1_k1152	161	/model.23/one2one_cv2.1/one2one_cv2.1.0/conv/Conv	conv_dense	24	24	576	16	1152	3x3	1x1	128	16	82944	18432	470.024	469.445	475.793	483.591	0xf06bc6bb6a2a9090	exact-component-contract	packed-p1-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
416	dense_3x3s1_k1152	161	/model.23/one2one_cv2.1/one2one_cv2.1.0/conv/Conv	conv_dense	26	26	676	16	1152	3x3	1x1	128	16	97344	18432	587.868	586.28	603.587	605.843	0x650e93dd72234b7c	exact-component-contract	packed-p1-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
448	dense_3x3s1_k1152	161	/model.23/one2one_cv2.1/one2one_cv2.1.0/conv/Conv	conv_dense	28	28	784	16	1152	3x3	1x1	128	16	112896	18432	662.867	660.406	679.684	686.136	0xef8d386b385a9de	exact-component-contract	packed-p1-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
480	dense_3x3s1_k1152	161	/model.23/one2one_cv2.1/one2one_cv2.1.0/conv/Conv	conv_dense	30	30	900	16	1152	3x3	1x1	128	16	129600	18432	757.46	755.866	769.952	771.179	0x321a9462a590fd8a	exact-component-contract	packed-p1-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
512	dense_3x3s1_k1152	161	/model.23/one2one_cv2.1/one2one_cv2.1.0/conv/Conv	conv_dense	32	32	1024	16	1152	3x3	1x1	128	16	147456	18432	1178.71	1173.19	1228.83	1245.85	0x5002255dc4f647de	exact-component-contract	packed-p1-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
640	dense_3x3s1_k1152	161	/model.23/one2one_cv2.1/one2one_cv2.1.0/conv/Conv	conv_dense	40	40	1600	16	1152	3x3	1x1	128	16	230400	18432	1192.78	1190.87	1211.65	1219.77	0xe3925f63ec36416	exact-component-contract	packed-p1-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
384	dense_3x3s1_k2304	201	/model.23/one2one_cv2.2/one2one_cv2.2.0/conv/Conv	conv_dense	12	12	144	16	2304	3x3	1x1	256	16	39168	36864	229.42	225.982	255.409	286.046	0xc6aa779b61d34306	exact-component-contract	packed-p1-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
