resolution	id	name	rank	shape	dim0	dim1	dim2	dim3	logical_elements	storage_bytes	layout	scale	scale_bits	zero_point	dtype	first_op	last_op	arena_offset
768	197	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/conv/Conv_output_0_QuantizeLinear_Output	4	1x80x24x24	1	80	24	24	46080	46080	NCHWc8_SPATIAL_INNER_V1	0.14417745172977448	0x3e13a341	136	uint8	206	208	221184
768	198	/model.23/one2one_cv2.2/one2one_cv2.2.1/act/Mul_output_0_QuantizeLinear_Output	4	1x16x24x24	1	16	24	24	9216	9216	NCHWc8_SPATIAL_INNER_V1	0.060253933072090149	0x3d76ccd4	5	uint8	207	209	801792
768	199	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/act/Mul_output_0_QuantizeLinear_Output	4	1x80x24x24	1	80	24	24	46080	46080	NCHWc8_SPATIAL_INNER_V1	0.068100303411483765	0x3d8b782c	4	uint8	208	210	884736
768	200	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0_QuantizeLinear_Output	4	1x4x24x24	1	4	24	24	2304	4608	NCHWc8_SPATIAL_INNER_V1	0.068141959607601166	0x3d8b8e03	1	uint8	209	215	792576
768	201	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/conv/Conv_output_0_QuantizeLinear_Output	4	1x80x24x24	1	80	24	24	46080	46080	NCHWc8_SPATIAL_INNER_V1	0.79191499948501587	0x3f4abaf1	131	uint8	210	211	221184
768	202	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/act/Mul_output_0_QuantizeLinear_Output	4	1x80x24x24	1	80	24	24	46080	46080	NCHWc8_SPATIAL_INNER_V1	0.38498526811599731	0x3ec51cca	1	uint8	211	212	884736
768	203	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv_output_0_QuantizeLinear_Output	4	1x80x24x24	1	80	24	24	46080	46080	NCHWc8_SPATIAL_INNER_V1	0.91585594415664673	0x3f6a7589	100	uint8	212	213	221184
768	204	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/act/Mul_output_0_QuantizeLinear_Output	4	1x80x24x24	1	80	24	24	46080	46080	NCHWc8_SPATIAL_INNER_V1	0.55605745315551758	0x3f0e59c8	1	uint8	213	214	884736
768	205	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0_QuantizeLinear_Output	4	1x80x24x24	1	80	24	24	46080	46080	NCHWc8_SPATIAL_INNER_V1	0.50942540168762207	0x3f0269b4	249	uint8	214	215	221184
768	206	__stage52_internal_model.2__m.0__Add_output_0_at_model.2__Concat_output_0_QuantizeLinear_Output	4	1x16x192x192	1	16	192	192	589824	589824	NCHWc8_SPATIAL_INNER_V1	0.32880854606628418	0x3ea85998	2	uint8	10	11	589824
768	207	__stage52_internal_model.4__m.0__Add_output_0_at_model.4__Concat_output_0_QuantizeLinear_Output	4	1x32x96x96	1	32	96	96	294912	294912	NCHWc8_SPATIAL_INNER_V1	0.03763701394200325	0x3d1a2945	15	uint8	21	22	884736
