candidate	model	index	node_name	op_type	classification	zero_point_name	zero_point_dtype	zero_point_shape	zero_point_min	zero_point_max	zero_point_unique_count	zero_point_values
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	22	PPQ_Operation_875	DequantizeLinear	weight	PPQ_Variable_1142	int8	256	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	23	PPQ_Operation_882	DequantizeLinear	weight	PPQ_Variable_1163	int8	256	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	24	PPQ_Operation_893	DequantizeLinear	weight	PPQ_Variable_1196	int8	64	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	25	PPQ_Operation_896	DequantizeLinear	weight	PPQ_Variable_1205	int8	64	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	26	PPQ_Operation_907	DequantizeLinear	weight	PPQ_Variable_1238	int8	64	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	27	PPQ_Operation_914	DequantizeLinear	weight	PPQ_Variable_1259	int8	64	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	28	PPQ_Operation_923	DequantizeLinear	weight	PPQ_Variable_1286	int8	64	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	29	PPQ_Operation_930	DequantizeLinear	weight	PPQ_Variable_1307	int8	64	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	30	PPQ_Operation_941	DequantizeLinear	weight	PPQ_Variable_1340	int8	128	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	31	PPQ_Operation_950	DequantizeLinear	weight	PPQ_Variable_1367	int8	256	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	32	PPQ_Operation_957	DequantizeLinear	weight	PPQ_Variable_1388	int8	128	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	33	PPQ_Operation_966	DequantizeLinear	weight	PPQ_Variable_1415	int8	256	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	34	PPQ_Operation_975	DequantizeLinear	weight	PPQ_Variable_1442	int8	256	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	35	PPQ_Operation_986	DequantizeLinear	weight	PPQ_Variable_1475	int8	256	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	36	PPQ_Operation_999	DequantizeLinear	weight	PPQ_Variable_1514	int8	128	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	37	PPQ_Operation_1002	DequantizeLinear	activation	PPQ_Variable_1523	int8	scalar	-128	-128	1	-128
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	38	PPQ_Operation_1011	DequantizeLinear	weight	PPQ_Variable_1550	int8	128	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	39	PPQ_Operation_1016	DequantizeLinear	weight	PPQ_Variable_1565	int8	256	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	40	PPQ_Operation_1023	DequantizeLinear	weight	PPQ_Variable_1586	int8	128	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	41	PPQ_Operation_1030	DequantizeLinear	weight	PPQ_Variable_1607	int8	256	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	42	PPQ_Operation_1041	DequantizeLinear	weight	PPQ_Variable_1640	int8	128	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	43	PPQ_Operation_1052	DequantizeLinear	weight	PPQ_Variable_1673	int8	32	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	44	PPQ_Operation_1055	DequantizeLinear	weight	PPQ_Variable_1682	int8	32	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	45	PPQ_Operation_1066	DequantizeLinear	weight	PPQ_Variable_1715	int8	32	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	46	PPQ_Operation_1073	DequantizeLinear	weight	PPQ_Variable_1736	int8	32	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	47	PPQ_Operation_1082	DequantizeLinear	weight	PPQ_Variable_1763	int8	32	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	48	PPQ_Operation_1089	DequantizeLinear	weight	PPQ_Variable_1784	int8	32	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	49	PPQ_Operation_1100	DequantizeLinear	weight	PPQ_Variable_1817	int8	64	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	50	PPQ_Operation_1109	DequantizeLinear	weight	PPQ_Variable_1844	int8	128	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	51	PPQ_Operation_1120	DequantizeLinear	weight	PPQ_Variable_1877	int8	64	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	52	PPQ_Operation_1131	DequantizeLinear	weight	PPQ_Variable_1910	int8	16	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	53	PPQ_Operation_1134	DequantizeLinear	weight	PPQ_Variable_1919	int8	16	0	0	1	0
