phase	block	slot	model	provider	metric	samples	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	p999_us	min_us	max_us	resource_samples	steady_resource_samples	terminal_samples_excluded	rss_startup_first_kib	rss_min_kib	rss_max_kib	hwm_max_kib	fds_min	fds_max	threads_min	threads_max
noise_b2	6	3	B2	spacemit	inference	100	100372.84973999999	1701.6550926322595	1.695334044056862	99795.71299999999	102554.3855	103015.74154999999	103576.76770000004	108515.99946999998	98208.622	109064.803	47	16	1	1408	88412	88412	88412	4	4	11	11
noise_b2	6	3	B2	spacemit	tail	100	14858.45301	329.85497255313624	2.2199819343988105	14705.993	15347.2577	15369.54985	15684.550700000003	16330.498969999999	14533.365	16402.271	47	16	1	1408	88412	88412	88412	4	4	11	11
noise_b2	6	3	B2	spacemit	two_stage	100	115231.30275	1817.9403364220364	1.577644522830873	114763.291	117461.359	117998.34474999999	118422.36566000004	123778.84916599997	112859.406	124374.014	47	16	1	1408	88412	88412	88412	4	4	11	11
noise_b2	7	0	B2	spacemit	inference	100	100885.78869000002	2004.3230414729574	1.9867248573848237	100194.58350000001	103140.5975	103927.91939999998	107128.51321	108030.847621	98178.071	108131.107	47	16	1	1408	88540	88540	88540	4	4	11	11
noise_b2	7	0	B2	spacemit	tail	100	14829.64619	345.3329298612273	2.32866600751469	14677.033	15332.072800000002	15433.568	15771.158680000002	16252.270168	14483.363	16305.727	47	16	1	1408	88540	88540	88540	4	4	11	11
noise_b2	7	0	B2	spacemit	two_stage	100	115715.43488	2154.1659942379174	1.8616064455635026	115032.682	118125.7847	118715.02044999998	122935.93933000001	123800.77333299999	112726.101	123896.866	47	16	1	1408	88540	88540	88540	4	4	11	11
noise_b2	7	1	B2	spacemit	inference	100	100330.07790999999	1786.8325965174047	1.7809540605761947	99703.713	102697.7364	103283.0884	105283.58381000001	107287.51498099999	98051.022	107510.174	47	16	1	1408	88284	88284	88284	4	4	11	11
noise_b2	7	1	B2	spacemit	tail	100	14862.89458	341.531456711351	2.297879830022659	14699.865000000002	15386.2978	15601.629400000002	15670.766280000002	15853.535328	14533.154	15873.843	47	16	1	1408	88284	88284	88284	4	4	11	11
noise_b2	7	1	B2	spacemit	two_stage	100	115192.97249	1885.9622410307707	1.6372198757128977	114582.33	117605.39429999999	117979.08154999999	120452.15526	122031.475926	112648.552	122206.956	47	16	1	1408	88284	88284	88284	4	4	11	11
noise_b2	7	2	B2	spacemit	inference	100	100894.72859999999	1854.7853028673342	1.8383371744035142	100242.0495	103511.8205	104464.31985	105747.10783000002	108747.89158299999	98086.384	109081.312	47	16	1	640	88668	88668	88668	4	4	11	11
noise_b2	7	2	B2	spacemit	tail	100	14823.77978	339.8101300626031	2.2923312077333295	14656.6965	15318.2904	15451.18465	15584.546620000003	16208.480061999997	14467.652	16277.806	47	16	1	640	88668	88668	88668	4	4	11	11
noise_b2	7	2	B2	spacemit	two_stage	100	115718.50838	1924.8691187887875	1.6634064383787621	115195.5195	118506.67910000001	119253.51845	120377.56853000002	123331.726253	113299.507	123659.966	47	16	1	640	88668	88668	88668	4	4	11	11
noise_b2	7	3	B2	spacemit	inference	100	100473.27604	1688.0785866492645	1.6801269483610886	100021.93	102698.4068	102979.3225	105965.48124000001	106690.954824	98267.384	106771.563	47	16	1	1536	88412	88412	88412	4	4	11	11
noise_b2	7	3	B2	spacemit	tail	100	14843.13293	312.257727409191	2.1037184594505347	14692.259	15381.1696	15477.41105	15576.75182	15602.663881999999	14493.402	15605.543	47	16	1	1536	88412	88412	88412	4	4	11	11
noise_b2	7	3	B2	spacemit	two_stage	100	115316.40897	1772.0626267760492	1.536695985076207	115090.17499999999	117548.65269999999	117750.83434999999	121428.16607	121508.986007	112952.538	121517.966	47	16	1	1536	88412	88412	88412	4	4	11	11
