surface	model	scope	provider	score_threshold	iou_threshold	max_dets	area	tp	fp	fn	precision	recall	f1	detections	detections_per_image	ignored_detections	ignored_ground_truths
B2_HOST	B2	host	CPU	0.001	0.75	300	all	23466	581748	12869	0.03877306209043413	0.6458235860740333	0.07315419398985894	651637	130.3274	46423	446
B2_HOST	B2	host	CPU	0.01	0.5	300	all	26816	101604	9519	0.20881482635103565	0.7380211916884547	0.3255257807046827	145687	29.1374	17267	446
B2_HOST	B2	host	CPU	0.01	0.75	300	all	20410	107673	15925	0.15934979661625664	0.5617173524150268	0.2482696541741172	145687	29.1374	17604	446
B2_HOST	B2	host	CPU	0.05	0.5	300	all	21517	19763	14818	0.5212451550387597	0.5921838447777625	0.5544546801520324	44190	8.838	2910	446
B2_HOST	B2	host	CPU	0.05	0.75	300	all	17036	23784	19299	0.41734443900048995	0.4688592266409798	0.4416045622448318	44190	8.838	3370	446
B2_HOST	B2	host	CPU	0.25	0.5	300	all	14441	2698	21894	0.8425812474473423	0.3974404843814504	0.5401129520888657	17432	3.4864	293	446
B2_HOST	B2	host	CPU	0.25	0.75	300	all	12457	4556	23878	0.7322047845765003	0.34283748451905877	0.46700907250506113	17432	3.4864	419	446
B2_HOST	B2	host	CPU	0.5	0.5	300	all	9804	810	26531	0.9236856981345393	0.2698224852071006	0.41764467826790774	10670	2.134	56	446
B2_HOST	B2	host	CPU	0.5	0.75	300	all	8930	1659	27405	0.8433279818679762	0.24576854272739782	0.38061546330236123	10670	2.134	81	446
B2_HOST	B2	host	CPU	0.001	0.5	300	large	8449	137735	230	0.05779702293000602	0.9734992510657909	0.10911579912567883	651637	130.3274	505453	28102
B2_HOST	B2	host	CPU	0.001	0.75	300	large	7878	139098	801	0.05360058785107773	0.9077082613204286	0.1012238604606341	651637	130.3274	504661	28102
B2_HOST	B2	host	CPU	0.01	0.5	300	large	8083	27735	596	0.22566865821653917	0.9313284940661366	0.3633053913746994	145687	29.1374	109869	28102
B2_HOST	B2	host	CPU	0.01	0.75	300	large	7397	29005	1282	0.20320312070765342	0.8522871298536697	0.3281648588096981	145687	29.1374	109285	28102
B2_HOST	B2	host	CPU	0.05	0.5	300	large	7636	8719	1043	0.4668908590645063	0.8798248646157392	0.6100503315490933	44190	8.838	27835	28102
B2_HOST	B2	host	CPU	0.05	0.75	300	large	6924	9876	1755	0.41214285714285714	0.7977877635672312	0.5435064170493348	44190	8.838	27390	28102
B2_HOST	B2	host	CPU	0.25	0.5	300	large	6690	1706	1989	0.7968080038113388	0.7708261320428621	0.7836017569546121	17432	3.4864	9036	28102
B2_HOST	B2	host	CPU	0.25	0.75	300	large	6070	2602	2609	0.6999538745387454	0.6993893305680378	0.6996714886750043	17432	3.4864	8760	28102
B2_HOST	B2	host	CPU	0.5	0.5	300	large	5957	680	2722	0.8975440711164683	0.6863693973960133	0.7778793418647166	10670	2.134	4033	28102
B2_HOST	B2	host	CPU	0.5	0.75	300	large	5480	1319	3199	0.8060008824827181	0.6314091485194147	0.7081018219408192	10670	2.134	3871	28102
B2_HOST	B2	host	CPU	0.001	0.5	300	medium	11298	177771	1094	0.05975596210907129	0.9117172369270498	0.11216066633244151	651637	130.3274	462568	24389
B2_HOST	B2	host	CPU	0.001	0.75	300	medium	9408	180562	2984	0.0495236089908933	0.7591994835377663	0.09298188395054409	651637	130.3274	461667	24389
B2_HOST	B2	host	CPU	0.01	0.5	300	medium	10141	29381	2251	0.2565912656242093	0.8183505487411233	0.39068459375120396	145687	29.1374	106165	24389
B2_HOST	B2	host	CPU	0.01	0.75	300	medium	8209	31465	4183	0.20691132731763875	0.6624435119431892	0.31533054200437904	145687	29.1374	106013	24389
B2_HOST	B2	host	CPU	0.05	0.5	300	medium	8424	5744	3968	0.5945793337097685	0.6797934151065204	0.6343373493975903	44190	8.838	30022	24389
B2_HOST	B2	host	CPU	0.05	0.75	300	medium	6824	7195	5568	0.4867679577715957	0.5506778566817302	0.5167543826435955	44190	8.838	30171	24389
B2_HOST	B2	host	CPU	0.25	0.5	300	medium	5625	681	6767	0.8920076117982874	0.453921885087153	0.6016686276607124	17432	3.4864	11126	24389
B2_HOST	B2	host	CPU	0.25	0.75	300	medium	4807	1271	7585	0.790885159591971	0.387911555842479	0.5205197617758527	17432	3.4864	11354	24389
B2_HOST	B2	host	CPU	0.5	0.5	300	medium	3243	104	9149	0.9689273976695548	0.2617010974822466	0.41209733782324165	10670	2.134	7323	24389
B2_HOST	B2	host	CPU	0.5	0.75	300	medium	2930	251	9462	0.9210939955988683	0.23644286636539702	0.37629230077698583	10670	2.134	7489	24389
B2_HOST	B2	host	CPU	0.001	0.5	300	small	10802	258083	4462	0.04017330829164885	0.7076781970649895	0.07603053327655561	651637	130.3274	382752	21517
B2_HOST	B2	host	CPU	0.001	0.75	300	small	6181	262087	9083	0.02304039244337752	0.40493972746331236	0.04360001692930604	651637	130.3274	383369	21517
B2_HOST	B2	host	CPU	0.01	0.5	300	small	8607	44490	6657	0.16209955364709872	0.563875786163522	0.2518102426822311	145687	29.1374	92590	21517
B2_HOST	B2	host	CPU	0.01	0.75	300	small	4807	47203	10457	0.09242453374351087	0.31492400419287214	0.14290810714391888	145687	29.1374	93677	21517
B2_HOST	B2	host	CPU	0.05	0.5	300	small	5490	5301	9774	0.5087572977481234	0.3596698113207547	0.42141623488773744	44190	8.838	33399	21517
B2_HOST	B2	host	CPU	0.05	0.75	300	small	3291	6713	11973	0.32896841263494603	0.2156053459119497	0.26048757321513377	44190	8.838	34186	21517
B2_HOST	B2	host	CPU	0.25	0.5	300	small	2160	311	13104	0.8741400242816674	0.14150943396226415	0.2435861291232027	17432	3.4864	14961	21517
B2_HOST	B2	host	CPU	0.25	0.75	300	small	1583	683	13681	0.6985878199470432	0.10370807127882599	0.18060467769537933	17432	3.4864	15166	21517
B2_HOST	B2	host	CPU	0.5	0.5	300	small	625	26	14639	0.9600614439324117	0.04094601677148847	0.07854225573358468	10670	2.134	10019	21517
B2_HOST	B2	host	CPU	0.5	0.75	300	small	521	89	14743	0.8540983606557377	0.03413259958071279	0.06564193020032758	10670	2.134	10060	21517
A1_HOST	A1	host	CPU	0.001	0.5	100	all	30185	510697	6150	0.055806996720171864	0.830741709095913	0.10458804920852989	567001	113.4002	26119	446
A1_HOST	A1	host	CPU	0.001	0.75	100	all	23128	518001	13207	0.04274027080418902	0.6365212604926379	0.0801019630660959	567001	113.4002	25872	446
A1_HOST	A1	host	CPU	0.01	0.5	100	all	26693	96492	9642	0.21669034379185778	0.7346360258703729	0.3346664994984955	138963	27.7926	15778	446
A1_HOST	A1	host	CPU	0.01	0.75	100	all	20270	102558	16065	0.16502751815546943	0.5578643181505436	0.2547074382865364	138963	27.7926	16135	446
A1_HOST	A1	host	CPU	0.05	0.5	100	all	21438	19171	14897	0.5279125317047945	0.5900096325856612	0.5572364316905802	43601	8.7202	2992	446
A1_HOST	A1	host	CPU	0.05	0.75	100	all	16921	23211	19414	0.42163360909000297	0.46569423420943995	0.442569997515268	43601	8.7202	3469	446
A1_HOST	A1	host	CPU	0.25	0.5	100	all	13754	2648	22581	0.8385562736251677	0.37853309481216457	0.521607220736864	16635	3.327	233	446
A1_HOST	A1	host	CPU	0.25	0.75	100	all	11953	4354	24382	0.7329980989759	0.32896656116691897	0.45412408343148053	16635	3.327	328	446
A1_HOST	A1	host	CPU	0.5	0.5	100	all	9524	739	26811	0.9279937640066257	0.262116416678134	0.40877290870852817	10319	2.0638	56	446
A1_HOST	A1	host	CPU	0.5	0.75	100	all	8678	1565	27657	0.8472127306453188	0.23883308105132792	0.3726222680235304	10319	2.0638	76	446
A1_HOST	A1	host	CPU	0.001	0.5	100	large	8428	118042	251	0.06664030995493002	0.9710796174674502	0.12472160356347438	567001	113.4002	440531	28102
A1_HOST	A1	host	CPU	0.001	0.75	100	large	7840	119310	839	0.06165945733385765	0.9033298767139072	0.11543926554712175	567001	113.4002	439851	28102
A1_HOST	A1	host	CPU	0.01	0.5	100	large	8015	23098	664	0.2576093594317488	0.923493490033414	0.40284479292320063	138963	27.7926	107850	28102
